symbol,date,open,high,low,close,volume
AARTIIND,2025-05-21,472.8,477.0,465.0,468.8,851201.0
AARTIIND,2025-05-22,468.9,472.75,464.2,468.85,1196191.0
AARTIIND,2025-05-23,469.0,473.6,465.25,469.3,752133.0
AARTIIND,2025-05-26,470.0,473.35,466.15,468.1,846411.0
AARTIIND,2025-05-27,468.35,481.5,464.0,478.45,1683772.0
AARTIIND,2025-05-28,490.0,495.0,476.05,478.95,4014668.0
AARTIIND,2025-05-29,479.9,482.9,475.45,480.0,1273200.0
AARTIIND,2025-05-30,480.0,483.45,466.9,469.25,917138.0
AARTIIND,2025-06-02,470.0,472.85,463.25,470.65,755485.0
AARTIIND,2025-06-03,472.0,480.0,469.55,470.6,810870.0
AARTIIND,2025-06-04,472.65,483.95,468.3,481.4,1619374.0
AARTIIND,2025-06-05,487.0,490.05,477.45,481.65,1580850.0
AARTIIND,2025-06-06,481.95,483.4,476.1,476.85,525506.0
AARTIIND,2025-06-09,479.75,486.9,478.35,483.65,1434855.0
AARTIIND,2025-06-10,486.0,492.4,480.65,481.9,1983691.0
AARTIIND,2025-06-11,485.0,489.9,473.3,478.2,1259663.0
AARTIIND,2025-06-12,479.75,482.9,468.0,469.85,1028596.0
AARTIIND,2025-06-13,464.0,467.8,457.5,462.1,1251376.0
AARTIIND,2025-06-16,461.95,466.5,449.1,463.05,1493985.0
AARTIIND,2025-06-17,463.15,468.9,454.4,455.6,984471.0
AARTIIND,2025-06-18,455.5,457.6,448.15,450.15,740566.0
AARTIIND,2025-06-19,447.0,454.3,435.0,437.4,1710949.0
AARTIIND,2025-06-20,435.35,443.85,433.35,441.3,1524200.0
AARTIIND,2025-06-23,435.0,446.0,434.1,445.15,714324.0
AARTIIND,2025-06-24,453.95,466.5,452.05,454.2,3669832.0
AARTIIND,2025-06-25,456.45,473.35,455.45,470.6,2343302.0
AARTIIND,2025-06-26,471.5,476.85,470.2,475.9,1516181.0
AARTIIND,2025-06-27,475.0,480.5,473.2,479.15,959660.0
AARTIIND,2025-06-30,480.05,486.0,478.15,479.45,956977.0
AARTIIND,2025-07-01,479.45,485.75,476.4,484.45,1085379.0
AARTIIND,2025-07-02,487.0,487.0,478.25,484.35,729558.0
AARTIIND,2025-07-03,481.1,486.0,478.1,479.45,582680.0
AARTIIND,2025-07-04,482.4,482.7,473.1,476.55,655612.0
AARTIIND,2025-07-07,475.95,478.65,464.8,466.75,519829.0
AARTIIND,2025-07-08,466.65,470.1,455.05,461.15,1084976.0
AARTIIND,2025-07-09,461.15,461.7,456.0,457.75,600314.0
AARTIIND,2025-07-10,458.0,460.75,445.75,448.0,1470832.0
AARTIIND,2025-07-11,448.0,451.2,440.0,441.0,1063711.0
AARTIIND,2025-07-14,439.0,447.9,436.5,443.3,777134.0
AARTIIND,2025-07-15,446.0,454.1,443.95,451.8,1225859.0
AARTIIND,2025-07-16,455.0,459.65,452.1,455.85,987004.0
AARTIIND,2025-07-17,457.6,458.0,454.2,456.3,436951.0
AARTIIND,2025-07-18,456.3,456.95,444.8,446.65,1000844.0
AARTIIND,2025-07-21,447.0,448.2,440.5,441.9,811618.0
AARTIIND,2025-07-22,444.9,444.9,421.6,422.95,3733943.0
AARTIIND,2025-07-23,422.95,429.9,417.5,427.0,1665826.0
AARTIIND,2025-07-24,428.0,436.5,425.0,433.7,1529976.0
AARTIIND,2025-07-25,433.7,434.6,424.35,430.25,1492835.0
AARTIIND,2025-07-28,430.85,433.95,427.5,428.5,878616.0
AARTIIND,2025-07-29,429.0,444.4,428.75,442.1,2116529.0
AARTIIND,2025-07-30,445.6,450.6,441.5,445.5,1672861.0
AARTIIND,2025-07-31,439.95,442.4,416.0,420.05,7184197.0
AARTIIND,2025-08-01,410.0,417.75,404.2,406.35,2793245.0
AARTIIND,2025-08-04,407.65,409.2,388.05,395.1,2620181.0
AARTIIND,2025-08-05,396.0,398.55,382.2,383.6,2095359.0
AARTIIND,2025-08-06,384.9,387.65,377.15,386.1,1679499.0
AARTIIND,2025-08-07,384.0,384.0,374.0,378.45,2154850.0
AARTIIND,2025-08-08,379.0,383.45,373.0,375.1,798438.0
AARTIIND,2025-08-11,375.1,376.7,367.5,374.9,1139835.0
AARTIIND,2025-08-12,376.2,377.65,370.3,372.05,1241922.0
AARTIIND,2025-08-13,374.1,393.25,372.8,382.75,1939707.0
AARTIIND,2025-08-14,384.35,384.6,375.0,376.1,523773.0
AARTIIND,2025-08-18,380.05,386.05,375.3,383.75,726007.0
AARTIIND,2025-08-19,385.6,390.5,382.05,389.45,579613.0
AARTIIND,2025-08-20,390.0,395.75,385.85,393.9,776052.0
AARTIIND,2025-08-21,393.85,393.85,378.95,381.9,820038.0
AARTIIND,2025-08-22,384.0,386.45,381.0,382.3,419905.0
AARTIIND,2025-08-25,382.95,389.5,382.3,388.55,463760.0
AARTIIND,2025-08-26,390.0,391.65,382.45,386.0,964212.0
AARTIIND,2025-08-28,384.1,384.8,375.0,376.95,610538.0
AARTIIND,2025-08-29,377.95,381.9,372.0,376.1,374976.0
AARTIIND,2025-09-01,376.1,379.6,375.3,377.6,329956.0
AARTIIND,2025-09-02,378.55,385.9,377.5,383.05,449899.0
AARTIIND,2025-09-03,385.65,389.0,383.2,385.45,639227.0
