0
=== REPORT 1: 52W Hi/Low Position ===

Symbol,Current_Price,52W_High,52W_Low,52W_Position,26W_High,26W_Low,4W_High,4W_Low,1W_High,1W_Low
CAMS,651.3,4375.0,641.1,0.27,4147.0,641.1,748.5,641.1,718.85,641.1
HDFCBANK,879.4,2037.7,871.55,0.67,1020.5,871.55,994.0,871.55,927.95,871.55
BAJFINANCE,978.25,9788.0,849.0,1.45,1102.5,877.85,1046.0,941.9,1034.0,968.0
HGS,365.7,628.7,360.0,2.12,546.35,360.0,431.0,360.0,394.25,360.0
RVNL,299.45,447.8,295.2,2.79,400.7,295.2,339.0,295.2,324.0,295.2
TTKPRESTIG,501.15,771.2,493.1,2.89,771.2,493.1,589.9,493.1,545.7,493.1
HIL,1499.7,2428.3,1472.0,2.9,2086.9,1472.0,1874.0,1472.0,1574.3,1472.0
GNFC,441.1,573.75,436.95,3.03,539.0,436.95,491.25,436.95,462.0,436.95
ASPINWALL,211.65,315.0,208.0,3.41,299.8,208.0,239.0,208.21,218.0,208.21
ICICITECH,33.46,44.3,33.01,3.99,44.3,33.01,44.3,33.01,34.71,33.01
IRFC,99.34,148.95,97.2,4.14,137.17,97.2,119.79,97.2,111.56,97.2
PPL,199.25,473.9,186.41,4.47,338.65,186.41,230.91,192.01,207.45,192.01
GREAVESCOT,150.93,244.3,146.5,4.53,236.9,146.5,177.5,146.5,161.38,146.5
TCS,2613.5,3710.0,2561.3,4.54,3350.0,2561.3,3350.0,2561.3,2688.6,2561.3
WIPRO,198.57,274.7,194.7,4.84,273.1,194.7,259.89,194.7,205.48,194.7
GULFPETRO,31.11,51.95,30.0,5.06,42.9,30.0,35.5,31.0,33.84,31.0
TITAGARH,671.35,974.35,654.55,5.25,965.0,660.0,822.0,660.0,741.7,660.0
INFY,1288.9,1728.0,1264.1,5.35,1728.0,1264.1,1728.0,1264.1,1335.0,1264.1
HDFCAMC,2649.8,5934.5,2407.3,6.88,5934.5,2407.3,2901.5,2601.4,2766.7,2601.4
CASTROLIND,185.82,251.95,180.66,7.24,210.75,180.66,190.1,183.64,188.85,184.1
PNBGILTS,77.56,119.8,74.25,7.27,106.0,76.05,83.5,76.93,83.5,76.93
ABBOTINDIA,26805.0,37000.0,26000.0,7.32,32775.0,26000.0,27910.0,26000.0,26900.0,26000.0
TATACHEM,710.45,1026.65,684.25,7.65,1026.65,684.25,764.9,684.25,726.9,690.0
MONTECARLO,546.15,860.95,518.05,8.19,860.95,536.0,617.2,536.0,578.0,536.0
TMPV,370.6,744.0,335.6,8.57,739.7,335.6,394.05,355.5,394.05,355.5
HDFCNIFIT,32.16,42.7,31.11,9.06,42.3,31.11,42.12,31.11,33.66,31.11
ITC,314.9,444.2,302.0,9.07,427.0,302.0,334.25,307.0,326.6,307.0
RITES,203.92,316.0,192.4,9.32,280.9,202.41,233.0,202.41,219.7,202.41
ARE&M,824.45,1109.0,793.4,9.84,1057.85,793.4,914.5,793.4,862.85,793.4
JUBLFOOD,505.65,727.95,481.1,9.95,667.75,481.1,575.0,500.0,536.8,500.0
BASML,21.71,38.2,19.81,10.33,31.9,19.81,27.05,21.05,24.19,21.05
RUBFILA,65.28,92.2,61.8,11.45,89.24,63.5,75.0,63.5,70.09,63.5
STOVEKRAFT,495.6,820.0,453.15,11.57,813.95,453.15,549.4,472.2,509.0,472.2
EXIDEIND,322.8,431.0,308.45,11.71,431.0,308.45,345.9,315.0,343.0,315.0
OFSS,6848.0,9950.0,6399.5,12.63,9950.0,6399.5,8015.5,6399.5,6985.0,6399.5
WSTCSTPAPR,405.7,583.0,379.8,12.75,549.9,379.8,464.95,395.85,428.0,401.1
JPPOWER,14.47,27.7,12.36,13.75,22.79,14.21,16.18,14.21,15.83,14.21
HCLTECH,1371.0,1780.1,1302.75,14.3,1780.1,1322.5,1780.1,1322.5,1406.7,1322.5
MOIL,295.0,405.6,274.05,15.93,404.9,292.8,338.95,292.8,311.35,292.8
CIPLA,1351.6,1673.0,1281.7,17.86,1673.0,1281.7,1381.3,1308.8,1364.9,1313.0
COCHINSHIP,1448.9,2545.0,1199.6,18.53,1979.9,1409.0,1578.0,1428.3,1524.4,1428.3
JINDALSAW,178.4,286.4,153.0,19.04,224.7,153.0,198.9,173.75,191.0,173.75
COSMOFIRST,687.8,1307.2,525.7,20.74,1012.45,560.8,763.25,605.5,730.25,646.1
AMBUJACEM,490.75,624.95,455.0,21.04,600.8,480.1,547.0,480.1,518.5,480.1
TECHM,1345.4,1854.0,1209.4,21.1,1854.0,1322.2,1854.0,1322.2,1423.2,1322.2
ASIANPAINT,2307.1,2985.7,2124.75,21.18,2985.7,2283.5,2525.0,2283.5,2441.5,2283.5
SMALLCAP,41.08,54.5,37.45,21.29,54.5,40.26,44.43,40.61,42.69,40.61
GENUSPOWER,257.2,430.0,210.4,21.31,363.0,210.4,293.0,210.4,268.95,249.4
PCBL,295.05,444.15,254.5,21.38,425.95,254.5,330.65,269.0,314.65,287.15
CARTRADE,1775.5,3290.5,1362.5,21.42,3290.5,1710.1,2644.6,1710.1,2000.8,1710.1
WHIRLPOOL,914.35,1473.8,756.85,21.97,1437.0,756.85,945.6,784.3,936.75,880.0
BALKRISIND,2302.6,2817.5,2152.05,22.62,2775.0,2175.2,2775.0,2275.4,2568.7,2275.4
CROMPTON,253.45,367.5,217.4,24.02,337.5,217.4,274.77,229.48,267.6,246.6
GLAXO,2532.6,3515.7,2220.3,24.11,2883.4,2220.3,2719.8,2370.3,2667.4,2511.7
GAIL,165.07,202.79,153.0,24.24,186.87,157.8,171.46,159.03,171.46,163.5
HITECHGEAR,620.85,897.45,515.0,27.68,897.45,611.0,700.0,611.0,660.0,611.0
CHOLAHLDNG,1599.9,2231.6,1357.35,27.74,2064.0,1570.0,1781.0,1570.0,1724.2,1570.0
DMART,3802.5,4949.5,3340.0,28.74,4949.5,3529.0,4032.2,3700.0,3945.8,3700.0
BALMLAWRIE,177.04,238.2,146.6,33.23,238.2,163.08,184.9,174.1,182.3,175.6
MOTILALOFS,717.5,1097.1,513.0,35.01,1097.1,687.35,829.0,687.35,763.0,687.35
ICIL,262.6,351.35,213.55,35.6,343.0,221.0,343.0,246.0,283.55,246.0
MAITHANALL,994.2,1264.0,835.25,37.07,1205.0,900.0,1089.0,939.0,1042.3,939.0
EIDPARRY,870.5,1246.8,639.0,38.09,1176.0,844.55,942.15,844.55,890.05,844.55
GULFOILLUB,1072.7,1331.9,911.0,38.42,1329.0,1016.3,1195.3,1035.1,1113.0,1035.1
PTC,162.76,207.0,135.0,38.56,192.29,149.59,192.29,160.81,168.5,160.81
ZYDUSLIFE,906.9,1059.05,795.0,42.38,1059.05,855.95,947.55,882.0,947.55,893.0
DABUR,507.6,577.0,433.3,51.7,577.0,479.15,525.5,495.6,525.5,500.8
IFCI,56.34,74.5,36.2,52.58,68.13,46.23,68.13,55.7,61.92,55.7
MARUTI,14388.0,17370.0,11059.45,52.75,17370.0,14058.0,15459.0,14204.0,15224.0,14204.0
CEATLTD,3459.6,4438.0,2343.05,53.3,4438.0,3125.4,4128.3,3132.8,3822.0,3132.8
IDFCBank,71.78,87.0,52.46,55.94,87.0,66.8,86.19,66.8,73.8,68.5
ICICIBANK,1374.0,1500.0,1206.3,57.1,1445.0,1317.4,1434.4,1355.0,1410.0,1355.0
METROPOLIS,1858.8,2263.0,1315.0,57.36,2263.0,1745.1,2044.0,1820.0,1937.1,1820.0
PHARMABEES,23.6,26.52,19.47,58.58,26.52,21.46,24.03,22.0,24.03,22.0
TEGA,1759.2,2125.0,1200.05,60.45,2125.0,1582.4,1862.7,1582.4,1857.8,1697.6
AARTIIND,432.95,495.0,338.05,60.47,474.7,338.05,474.7,412.0,462.95,416.0
EMBASSY,425.97,462.0,355.0,66.33,462.0,383.0,462.0,417.5,437.0,417.5
TATACONSUM,1125.2,1220.9,930.1,67.09,1220.9,1057.0,1185.0,1110.8,1185.0,1110.8
HINDZINC,617.65,733.0,378.15,67.49,733.0,424.0,643.95,575.0,624.8,588.5
COALINDIA,426.25,461.55,352.4,67.66,461.55,369.6,441.4,406.6,439.65,416.0
NIFTYETF,268.9,289.05,226.0,68.04,289.05,258.16,287.31,266.01,284.72,266.01
MANAPPURAM,282.0,321.6,194.51,68.84,321.6,260.7,313.25,272.15,307.5,272.15
MUTHOOTFIN,3471.9,4149.5,1965.0,68.98,4149.5,2651.2,4082.9,3332.4,3523.4,3332.4
NATCOPHARM,956.25,1059.0,726.8,69.07,999.0,789.0,999.0,812.3,999.0,885.55
KTKBANK,203.04,220.4,162.2,70.17,220.4,170.0,209.7,182.4,209.65,195.55
ICICIPRULI,653.55,706.8,525.8,70.58,706.8,578.65,677.55,629.85,677.55,646.35
PGINVIT,91.45,98.19,74.96,70.99,98.19,86.3,94.55,88.05,93.15,89.64
PETRONET,308.65,326.5,263.5,71.67,326.4,263.5,326.4,286.05,326.4,302.7
JINDALPOLY,627.35,729.6,365.0,71.96,657.4,365.0,657.4,390.0,657.4,515.0
CHOLAFIN,1703.7,1831.5,1358.65,72.97,1831.5,1424.2,1776.7,1628.0,1774.6,1628.0
HEROMOTOCO,5591.5,6388.5,3344.0,73.82,6388.5,5231.0,5890.0,5375.0,5840.0,5436.5
JSL,783.35,884.0,496.6,74.02,884.0,715.5,819.5,734.0,814.95,740.0
IRBINVIT,61.32,65.25,49.91,74.38,64.97,60.0,63.25,61.0,62.09,61.0
SOUTHBANK,40.6,46.84,22.3,74.57,46.84,28.11,42.09,37.75,41.84,38.28
AUROPHARMA,1210.4,1278.6,1010.0,74.61,1270.8,1016.2,1250.9,1106.0,1250.9,1144.0
LT,4066.7,4440.0,2965.3,74.69,4440.0,3516.4,4440.0,3975.4,4440.0,3975.4
DRREDDY,1294.4,1379.7,1020.0,76.29,1327.0,1148.4,1327.0,1218.1,1327.0,1221.2
SGBN28VIII,16463.23,19000.0,8251.0,76.4,19000.0,10850.0,16499.0,14207.46,16499.0,15646.0
MIDCAPETF,21.94,23.61,16.0,78.06,23.61,20.61,22.95,21.0,22.57,21.0
ADANIPORTS,1470.3,1584.0,1036.5,79.23,1584.0,1292.0,1584.0,1430.0,1584.0,1430.0
IPCALAB,1513.0,1595.0,1168.2,80.79,1582.6,1251.6,1547.4,1392.3,1547.4,1458.0
HINDALCO,940.0,1029.8,546.45,81.42,1029.8,723.1,976.65,881.0,946.0,896.1
ICICIGOLD,143.55,158.0,69.71,83.63,158.0,88.67,147.36,126.0,147.36,132.3
LGBBROSLTD,1892.3,2048.0,1081.0,83.9,2048.0,1246.5,2048.0,1753.8,1956.3,1855.0
GLENMARK,2123.3,2284.8,1277.3,83.97,2159.8,1792.6,2159.8,1911.0,2159.8,2025.4
ABSLAMC,876.4,934.6,556.45,84.61,934.6,708.0,934.6,785.0,934.2,854.4
TMB,672.15,721.0,401.0,84.73,721.0,411.8,721.0,586.0,708.0,642.0
NTPC,377.55,388.55,307.7,86.39,388.55,315.55,388.55,353.8,388.55,365.0
BAJAJ-AUTO,9776.0,10187.0,7089.35,86.73,10187.0,8491.5,10187.0,9471.5,10187.0,9565.0
MOGOLD,164.85,175.0,96.3,87.1,175.0,101.9,166.4,142.0,166.4,154.65
IOC,179.11,188.96,110.72,87.41,188.96,136.76,188.96,164.4,188.96,176.51
SBIGETS,142.77,153.95,64.96,87.44,153.95,87.93,143.42,121.63,143.42,130.63
ONGC,282.2,293.0,205.0,87.73,293.0,228.61,293.0,249.35,293.0,273.3
GOLDETF,161.83,173.5,78.03,87.78,173.5,101.51,166.2,142.0,166.2,152.62
GOLDBEES,138.32,148.14,65.85,88.07,148.14,84.44,142.0,120.0,142.0,130.0
VEDL,723.35,769.8,363.0,88.58,769.8,431.95,738.35,640.25,738.35,676.0
TVSMOTOR,3813.1,3970.0,2218.8,91.04,3970.0,3280.6,3970.0,3667.1,3970.0,3743.4
GESHIP,1326.4,1375.0,797.5,91.58,1375.0,922.5,1375.0,1214.7,1375.0,1293.2
TITAN,4270.3,4378.4,2925.0,92.56,4378.4,3303.1,4378.4,4044.1,4352.2,4193.0
DATAPATTNS,3204.3,3348.0,1351.15,92.8,3348.0,2131.0,3348.0,2512.0,3348.0,3026.5
TATASTEEL,211.01,216.45,125.3,94.03,216.45,160.06,216.45,191.51,216.45,204.5
TMCV,498.0,509.0,306.3,94.57,509.0,306.3,509.0,447.6,509.0,472.55
INDIANB,976.65,1000.0,478.0,95.53,1000.0,653.0,1000.0,857.9,1000.0,960.0
SAIL,165.59,168.21,101.13,96.09,168.21,118.5,168.21,149.04,168.21,152.05




0
=== REPORT 2A: Crossed Last 5 Days ===

Symbol,Cross Type,Cross%,Cross Date
AUROPHARMA,100/10,0.917,2026-02-26
AUROPHARMA,50/5,1.911,2026-02-27
CHOLAFIN,50/5,2.028,2026-02-24
DRREDDY,200/20,1.18,2026-02-26
HINDALCO,50/5,0.746,2026-02-25
ICICIPRULI,50/5,0.863,2026-02-25
JINDALPOLY,100/10,10.822,2026-02-25
JSL,50/5,-0.257,2026-02-27
MIDCAPETF,50/5,-0.352,2026-02-26
NATCOPHARM,200/20,0.427,2026-03-02
PHARMABEES,200/20,1.306,2026-02-24
SGBN28VIII,50/5,1.515,2026-02-26
SOUTHBANK,50/5,0.455,2026-02-26
TATACONSUM,50/5,-0.87,2026-02-24
WSTCSTPAPR,50/5,-0.077,2026-02-26




0
=== REPORT 2B: Nearing Crossover ===

Symbol,Cross Type,Cross% (neg=below)
BALKRISIND,50/5,-0.421
CASTROLIND,50/5,-0.106
EMBASSY,100/10,-0.476
HEROMOTOCO,50/5,-0.101
ICICIBANK,200/20,-0.065
IRBINVIT,100/10,-0.43
IRBINVIT,50/5,-0.734
JSL,100/10,-0.67
JSL,50/5,-0.257
MAITHANALL,100/10,-0.378
MIDCAPETF,100/10,-0.303
MIDCAPETF,50/5,-0.352
NIFTYETF,100/10,-0.936
PGINVIT,200/20,-0.428
PGINVIT,50/5,-0.263
TATACONSUM,100/10,-0.373
TATACONSUM,50/5,-0.87
TEGA,50/5,-0.271
TMPV,100/10,-0.783
WSTCSTPAPR,50/5,-0.077




0
=== REPORT 3: MACD Signals (Score>=2) ===

Symbol,MACD,Signal,Histogram,Bullish X,Above 0,Hist Inc,Score
GOLDETF,3.1013,2.5977,0.5035,True,True,True,3
GOLDBEES,2.7522,2.261,0.4912,True,True,True,3
TMCV,13.0461,12.9633,0.0828,True,True,True,3
SAIL,3.6247,3.3653,0.2594,True,True,True,3
SBIGETS,2.8118,2.2981,0.5137,True,True,True,3
MOGOLD,3.1237,2.6224,0.5013,True,True,True,3
ICICIGOLD,2.7523,2.2591,0.4932,True,True,True,3
SGBN28VIII,30.3059,-31.3817,61.6876,True,True,True,3
COALINDIA,2.1467,1.9085,0.2382,True,True,False,2
AUROPHARMA,7.8615,1.3813,6.4802,True,True,False,2
CHOLAFIN,8.4811,7.5733,0.9077,True,True,False,2
ABBOTINDIA,-293.1408,-350.2686,57.1278,True,False,True,2
DABUR,1.2927,1.2217,0.071,True,True,False,2
HINDZINC,-5.4016,-6.9887,1.5871,True,False,True,2
HINDALCO,0.1266,0.4115,-0.2849,False,True,True,2
ONGC,6.8536,6.8182,0.0354,True,True,False,2
OFSS,-232.1273,-262.1505,30.0232,True,False,True,2
LGBBROSLTD,29.4374,32.3509,-2.9135,True,True,False,2
IOC,4.4298,4.1184,0.3114,True,True,False,2
