symbol,2026-02-12,2026-02-13,2026-02-16,2026-02-17,2026-02-18,2026-02-19,2026-02-20,2026-02-23,2026-02-24,2026-02-25
AARTIIND,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ASIANPAINT,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARTRADE,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
DATAPATTNS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
HCLTECH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
HDFCNIFIT,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
ICIL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
INFY,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
ITIETF,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
METROPOLIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PGINVIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
PHARMABEES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PTC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
