,1MHLP,1MHLP,1MHLP,1WHLP,1WHLP,1WHLP,1YHLP,1YHLP,1YHLP,3MHLP,3MHLP,3MHLP,52WHLP,52WHLP,52WHLP,52WH_P,52WH_P,52WH_P,52WL_P,52WL_P,52WL_P,6MHLP,6MHLP,6MHLP,SIG,SIG,SIG,SMA20_2_200P,SMA20_2_200P,SMA20_2_200P,close,close,close
symbol,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-18,,,,,,,,,,,,,,,118.210197710718,,,-1.9756152630390607,,,14.385209573255656,,,,,,0.0,,,,,,451.65
2023-12-19,,,,,,,,,,,,,36.889460154241675,,127.47138397502613,15.824671662235104,,-2.980356739670365,12.345413485321009,,15.512219830315308,,,,0.0,,0.0,,,,522.35,,456.1
2023-12-20,,,,,,,,,,,,,16.38817480719795,,116.8574401664933,20.965272741922483,,-1.8288552720704498,5.484460694698355,,14.220590097505376,,,,0.0,,0.0,,,,490.45,,451.0
2023-12-21,,,,,,,,,,,,,25.032133676092545,,117.79396462018734,18.79784062525179,,-1.9304583427410278,8.377244865039248,,14.334557426870953,,,,0.0,,0.0,,,,503.9,,451.45
2023-12-22,,,,,,,,,,,,,24.967866323907476,,125.59833506763793,18.813955362178707,,-2.7771505983291966,8.35573717604044,,15.284285171584136,,,,0.0,,0.0,,,,503.8,,455.2
2023-12-26,,,,,,,,,,,,,25.96401028277638,68.2465550725978,128.1997918834548,18.564176939811446,16.948859709744294,-3.0593813501919196,8.689106355522107,78.13128639491795,15.60086108648853,,,,0.0,0.0,0.0,,,,505.35,1682.45,456.45
2023-12-27,,,,,,100.0,,,,,,,33.45115681233934,70.17478960510498,129.55254942767962,16.68681008782531,15.91963668674104,-3.2061413411605435,11.19475212388429,80.33880359978825,15.765480562238823,,,,0.0,0.0,0.0,,,,517.0,1703.3,457.1
2023-12-28,,,,74.60815047021939,,100.0,,,,,,,31.683804627249373,70.35512808656247,144.12070759625405,17.1299653533156,15.823378418402603,-4.786633551591792,10.60329067641682,80.54526204340921,17.53830568570343,,,,0.0,0.0,0.0,,,,514.25,1705.25,464.1
