0
=== REPORT 1: 52W Hi/Low Position ===

Symbol,Current_Price,52W_High,52W_Low,52W_Position
AHH,5.47,7.84,5.47,0.0
AMH,28.37,38.0,28.22,1.53
WHR,57.49,108.05,56.33,2.24
NVO,37.96,80.53,35.85,4.72
AVB,168.96,210.66,165.15,8.37
ARE,48.41,95.09,43.46,9.59
KLAR,15.91,47.48,12.5,9.75
AFCG,2.63,7.53,2.06,10.41
NKE,53.98,78.73,51.0,10.75
COLD,11.13,21.05,9.93,10.82
FORT.L,159.4,214.98,152.2,11.47
KHC,22.58,29.28,21.62,12.51
QCOM,129.82,203.6,118.03,13.77
RGL.L,99.5,129.11,94.08,15.48
ABR,7.67,11.74,6.86,16.63
BME.L,179.0,349.8,140.0,18.59
IIIV,23.19,33.97,19.89,23.44
ULVR.L,4834.5,5541.69,4584.16,26.14
RESI.L,53.6,63.35,49.31,30.52
RKT.L,5356.0,6520.4,4767.22,33.58
BRK-B,490.03,542.07,455.19,40.1
API,3.83,5.71,2.53,40.97
PG,150.65,170.13,136.65,41.81
IUKP.L,406.15,460.1,364.34,43.66
SPR.L,108.0,137.0,79.99,49.14
LAND.L,585.5,678.5,489.95,50.68
SGRO.L,722.6,844.6,586.77,52.68
LGEN.L,246.3,279.5,206.62,54.44
UNIT,7.72,9.74,5.3,54.47
BBOX.L,151.1,173.97,121.83,56.13
ARKO,5.26,6.67,3.43,56.51
NWG.L,565.2,705.4,380.53,56.84
BARC.L,386.25,506.34,223.71,57.51
BAC,46.72,57.23,32.34,57.78
TM,210.84,248.9,155.0,59.47
LLOY.L,94.18,114.6,60.75,62.08
NRR.L,74.6,81.7,62.84,62.34
AEWU.L,105.2,113.2,91.93,62.39
BNPQY,48.13,57.31,32.66,62.76
APLE,11.69,12.77,9.7,64.71
AAT,18.78,20.41,15.59,66.23
NG,10.41,14.4,2.26,67.13
HSBA.L,1180.4,1410.1,698.29,67.73
BMY.L,584.0,654.4,435.0,67.91
THRL.L,100.8,108.8,83.55,68.32
AV.L,633.4,700.8,485.57,68.68
SUPR.L,83.8,89.2,71.43,69.61
NLY,21.86,24.52,15.0,72.07
GSK,53.39,61.21,31.14,74.0
RIO.L,6665.0,7554.33,4022.14,74.82
CREI.L,84.4,91.1,64.35,74.95
RR.L,1215.5,1420.0,562.02,76.16
KO,77.34,81.44,64.19,76.23
DPYE.L,6.16,6.52,5.0,76.31
IWDP.L,1883.5,1971.5,1591.01,76.87
SMT.L,1182.0,1298.5,778.1,77.61
RIO,87.83,98.77,49.07,77.99
MCD,326.46,339.85,278.63,78.13
ASML,1345.69,1547.22,573.49,79.3
ADC,79.2,82.08,66.37,81.67
VOD,14.41,15.91,7.68,81.77
BATS.L,4519.0,4876.23,2914.64,81.79
O,64.44,67.94,48.21,82.26
VUKG.L,54.4,57.79,38.6,82.34
VHYL.L,63.99,67.5,46.57,83.23
SBUX,99.15,104.15,73.47,83.71
ZIM,26.99,29.97,10.57,84.64
MO,67.89,70.51,50.18,87.12
TSCO.L,488.9,508.2,310.19,90.25
PBR,18.57,19.29,10.27,92.02
GLEN.L,518.4,539.8,204.94,93.61
CVX,196.82,198.88,126.35,97.16
BCPT.L,104.66,104.66,0.96,100.0
WHR.L,124.8,124.8,74.27,100.0




0
=== REPORT 2A: Crossed Last 5 Days ===

Symbol,cross_type,cross_pct,last_cross_date
AFCG,50/5,6.53,2026-03-10
BATS.L,50/5,0.952,2026-03-12
BMY.L,200/20,0.563,2026-03-13
BMY.L,100/10,9.838,2026-03-09
BRK-B,50/5,-0.058,2026-03-10
WHR.L,50/5,3.301,2025-10-09




0
=== REPORT 2B: Nearing Crossover ===

Symbol,cross_type,cross_pct
AEWU.L,100/10,-0.23
ASML,50/5,-0.283
AV.L,200/20,-0.826
BRK-B,100/10,-0.854
BRK-B,50/5,-0.058
COLD,100/10,-0.651
KHC,100/10,-0.977
LGEN.L,100/10,-0.644
LLOY.L,100/10,-0.56
RIO.L,50/5,-0.661
RR.L,50/5,-0.248
VUKG.L,50/5,-0.017




0
=== REPORT 3: MACD Signals ===

Symbol,MACD,Signal,Histogram,MACD_Score
CVX,5.1747,4.9659,0.2088,3
BATS.L,6.9436,19.3133,-12.3697,2
BCPT.L,-3.0789,-5.101,2.0221,2
KO,0.3883,0.8695,-0.4813,2
MO,0.8295,1.2114,-0.3819,2
NVO,-3.3172,-3.6686,0.3514,2
RGL.L,-1.5442,-1.6759,0.1317,2
SBUX,1.5953,1.5443,0.0511,2
TSCO.L,4.3407,6.2702,-1.9295,2
UNIT,0.0571,0.0781,-0.021,2
WHR.L,1.5691,0.3696,1.1995,2




0
=== REPORT 4A: Near 52W HIGH ===

Current_Price,52W_High,52W_Low,26W_High,26W_Low,4W_High,4W_Low,1W_High,1W_Low,52W_Position,Symbol
104.66,104.66,0.96,104.66,0.96,104.66,0.96,104.66,0.96,100.0,BCPT.L
124.8,124.8,74.27,124.8,93.99,124.8,113.0,124.8,113.0,100.0,WHR.L
196.82,198.88,126.35,198.88,145.07,198.88,178.74,198.88,185.64,97.16,CVX
