Symbol,Current_Price,1D_%,2D_%,5D_%,10D_%,1M_%,3M_%,6M_%,1Y_%
AAT,18.78,-0.48,-0.11,-1.62,-2.12,3.28,0.3,-6.87,-0.76
ABR,7.67,-2.17,-3.88,-8.51,0.26,4.61,-12.15,-30.85,-29.24
ADC,79.2,-0.58,-0.81,-2.64,-1.59,3.53,12.32,9.71,9.76
AEWU.L,105.2,-1.13,-0.57,-1.31,-4.71,-2.41,-0.17,0.8,2.01
AFCG,2.63,0.0,0.0,0.38,15.35,12.39,-14.61,-40.14,-65.5
AHH,5.47,-4.04,-4.37,-12.06,-12.48,-21.41,-19.03,-23.32,-31.95
AMH,28.37,0.28,-0.59,-4.01,-4.33,-9.57,-6.03,-15.55,-15.02
API,3.83,-1.29,-4.01,-11.75,-17.99,-10.3,0.52,-1.03,-31.24
APLE,11.69,-1.52,-3.47,-3.71,-4.65,-4.74,1.32,-4.01,-7.18
ARE,48.41,-3.66,-3.51,-4.57,-10.42,-9.95,5.71,-41.11,-47.69
ARKO,5.26,-0.57,-5.23,-12.47,-17.78,-16.08,5.32,2.57,39.58
ASML,1345.69,-0.44,-2.96,4.09,-7.23,-6.26,20.38,67.86,93.0
AV.L,633.4,1.31,0.92,0.8,-7.67,2.29,-3.12,-6.25,15.75
AVB,168.96,-1.22,-1.66,-5.02,-4.67,-6.04,-3.27,-12.55,-16.66
BAC,46.72,-0.87,-3.71,-3.95,-5.71,-12.75,-13.12,-6.94,19.7
BARC.L,386.25,-0.8,-5.85,-4.43,-14.71,-16.68,-13.56,1.63,33.75
BATS.L,4519.0,1.6,3.46,5.53,-2.61,2.61,3.09,9.4,42.87
BBOX.L,151.1,-2.01,-3.44,-5.84,-12.29,-10.84,4.58,8.11,7.07
BCPT.L,104.66,9.25,9.25,10836.26,9.71,,,,
BME.L,179.0,0.28,-0.83,-0.53,-6.28,0.03,15.3,-26.65,-33.05
BMY.L,584.0,-0.34,-0.68,4.1,26.13,30.21,20.91,20.55,0.72
BNPQY,48.13,-2.31,-7.58,-4.96,-14.18,-12.55,5.99,2.86,27.18
BRK-B,490.03,-0.38,-0.72,-1.79,-2.95,-2.0,-0.08,-1.38,-1.19
COLD,11.13,-1.33,-6.0,-11.03,-16.88,-11.31,-8.89,-15.23,-43.76
CREI.L,84.4,-0.47,-0.71,0.48,-3.32,-4.74,5.12,3.98,9.27
CVX,196.82,-0.08,2.62,3.62,5.39,6.96,31.26,26.99,34.72
