SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, FACE VALUE
20MICRONS,20 Microns Limited,EQ,06-OCT-2008,5
21STCENMGM,21st Century Management Services Limited,EQ,03-MAY-1995,10
360ONE,360 ONE WAM LIMITED,EQ,19-SEP-2019,1
3IINFOLTD,3i Infotech Limited,EQ,22-OCT-2021,10
3MINDIA,3M India Limited,EQ,13-AUG-2004,10
3PLAND,3P Land Holdings Limited,EQ,19-JUL-1995,2
5PAISA,5Paisa Capital Limited,EQ,16-NOV-2017,10
63MOONS,63 moons technologies limited,EQ,20-JUN-2005,2
A2ZINFRA,A2Z Infra Engineering Limited,EQ,23-DEC-2010,10
AAATECH,AAA Technologies Limited,BE,28-NOV-2022,10
AADHARHFC,Aadhar Housing Finance Limited,EQ,15-MAY-2024,10
AAKASH,Aakash Exploration Services Limited,EQ,29-SEP-2020,1
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ,06-AUG-2021,10
AARON,Aaron Industries Limited,EQ,06-NOV-2020,10
AARTECH,Aartech Solonics Limited,EQ,10-JUL-2023,5
AARTIDRUGS,Aarti Drugs Limited,EQ,19-SEP-2003,10
AARTIIND,Aarti Industries Limited,EQ,08-FEB-1995,5
AARTIPHARM,Aarti Pharmalabs Limited,EQ,30-JAN-2023,5
AARTISURF,Aarti Surfactants Limited,EQ,14-JUL-2020,10
AARVI,Aarvi Encon Limited,EQ,24-JUN-2020,10
AAVAS,Aavas Financiers Limited,EQ,08-OCT-2018,10
ABAN,Aban Offshore Limited,BE,29-MAR-1995,2
ABB,ABB India Limited,EQ,08-FEB-1995,2
ABBOTINDIA,Abbott India Limited,EQ,08-JAN-2010,10
ABCAPITAL,Aditya Birla Capital Limited,EQ,01-SEP-2017,10
ABCOTS,A B Cotspin India Limited,EQ,24-SEP-2025,10
ABDL,Allied Blenders and Distillers Limited,EQ,02-JUL-2024,2
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-JUL-2013,10
ABINFRA,A B Infrabuild Limited,EQ,08-NOV-2024,1
ABLBL,Aditya Birla Lifestyle Brands Limited,EQ,23-JUN-2025,10
ABMINTLLTD,ABM International Limited,EQ,09-SEP-2021,10
ABREL,Aditya Birla Real Estate Limited,EQ,27-JUN-2003,10
ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,11-OCT-2021,5
ACC,ACC Limited,EQ,20-NOV-1996,10
ACCELYA,Accelya Solutions India Limited,EQ,01-DEC-1999,10
ACCURACY,Accuracy Shipping Limited,EQ,11-DEC-2020,1
ACE,Action Construction Equipment Limited,EQ,26-SEP-2006,2
ACEINTEG,Ace Integrated Solutions Limited,EQ,04-NOV-2022,10
ACI,Archean Chemical Industries Limited,EQ,21-NOV-2022,2
ACL,Andhra Cements Limited,EQ,10-MAY-2023,10
ACMESOLAR,Acme Solar Holdings Limited,EQ,13-NOV-2024,2
ACUTAAS,Acutaas Chemicals Limited,EQ,14-SEP-2021,5
ADANIENSOL,Adani Energy Solutions Limited,EQ,31-JUL-2015,10
ADANIENT,Adani Enterprises Limited,EQ,04-JUN-1997,1
ADANIGREEN,Adani Green Energy Limited,EQ,18-JUN-2018,10
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-NOV-2007,2
ADANIPOWER,Adani Power Limited,EQ,20-AUG-2009,2
ADFFOODS,ADF Foods Limited,EQ,15-SEP-2010,2
ADL,Archidply Decor Limited,EQ,01-OCT-2020,10
